{'target': 1, 'label': 1, 'model_name': '', 'Primal': 0.029543441568227097, 'Primal_time': 3.869404, 'Dual': 0.029536220186334724, 'Dual_time': 3.393412, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.021625869002156684, 'res_plus_time': 10.367327, 'status_res_plus': 0.0}
{'target': 1, 'label': 1, 'model_name': '', 'Primal': 0.05360788410147125, 'Primal_time': 4.260748, 'Dual': 0.04647308551217275, 'Dual_time': 6.821515, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.024340687897610864, 'res_plus_time': 10.687336, 'status_res_plus': 0.0}
{'target': 0, 'label': 1, 'model_name': '', 'Primal': 0.13423468282372764, 'Primal_time': 4.436897, 'Dual': 0.1342322024045465, 'Dual_time': 3.604728, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.1052393992868064, 'res_plus_time': 12.826232, 'status_res_plus': 0.0}
{'target': 1, 'label': 1, 'model_name': '', 'Primal': 0.0677692822333441, 'Primal_time': 3.984619, 'Dual': 0.061402970096116026, 'Dual_time': 5.149202, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.04381764582261708, 'res_plus_time': 12.322183, 'status_res_plus': 0.0}
{'target': 2, 'label': 1, 'model_name': '', 'Primal': 0.23762967599448037, 'Primal_time': 4.998443, 'Dual': 0.21475473732542838, 'Dual_time': 5.49102, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.15410604751886436, 'res_plus_time': 17.328684, 'status_res_plus': 0.0}
{'target': 2, 'label': 1, 'model_name': '', 'Primal': -0.0018898750916551427, 'Primal_time': 4.88042, 'Dual': -0.0018888524274226286, 'Dual_time': 3.742748, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -0.0018936312442738735, 'res_plus_time': 0.003815, 'status_res_plus': 1.0}
{'target': 2, 'label': 1, 'model_name': '', 'Primal': -0.001888583628972044, 'Primal_time': 5.034788, 'Dual': -0.0018889087169348246, 'Dual_time': 3.985162, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -0.0018936341287791394, 'res_plus_time': 0.002863, 'status_res_plus': 1.0}
{'target': 2, 'label': 1, 'model_name': '', 'Primal': 0.1275035176696808, 'Primal_time': 4.923011, 'Dual': 0.1274923058157183, 'Dual_time': 3.744155, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.12924781081988257, 'res_plus_time': 12.744812, 'status_res_plus': 0.0}
{'target': 0, 'label': 1, 'model_name': '', 'Primal': 0.13940565640361285, 'Primal_time': 4.430908, 'Dual': 0.13940420160741637, 'Dual_time': 3.62763, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.106314678431974, 'res_plus_time': 13.874416, 'status_res_plus': 0.0}
{'target': 2, 'label': 1, 'model_name': '', 'Primal': 0.20511206345424007, 'Primal_time': 4.416945, 'Dual': 0.2051002118218183, 'Dual_time': 3.86977, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.1688202956938576, 'res_plus_time': 13.942207, 'status_res_plus': 0.0}
{'target': 0, 'label': 1, 'model_name': '', 'Primal': 0.09158782975722973, 'Primal_time': 4.557115, 'Dual': 0.09158564794092208, 'Dual_time': 3.638364, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.08696991323216685, 'res_plus_time': 11.446678, 'status_res_plus': 0.0}
{'target': 2, 'label': 1, 'model_name': '', 'Primal': 0.1521958012601032, 'Primal_time': 4.669665, 'Dual': 0.15218914018083357, 'Dual_time': 3.700327, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.14426268081730875, 'res_plus_time': 13.391973, 'status_res_plus': 0.0}
{'target': 1, 'label': 1, 'model_name': '', 'Primal': 0.0006410758578854757, 'Primal_time': 4.46567, 'Dual': 0.0006413907583624975, 'Dual_time': 3.344269, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.0006373033980365113, 'res_plus_time': 0.00295, 'status_res_plus': 0.0}
