{'target': 7, 'label': 0, 'model_name': '', 'Primal': 20.1607834416566, 'Primal_time': 2167.450863, 'Dual': 19.86418704245055, 'Dual_time': 1955.973997, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 15.378606845884825, 'res_plus_time': 4673.994865, 'status_res_plus': 0.0}
{'target': 3, 'label': 7, 'model_name': '', 'Primal': 6.010339431685137, 'Primal_time': 2264.971443, 'Dual': 5.845329855104648, 'Dual_time': 1957.273261, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 4.404407591822731, 'res_plus_time': 4058.682784, 'status_res_plus': 0.0}
{'target': 9, 'label': 4, 'model_name': '', 'Primal': 1.1734709951930267, 'Primal_time': 2111.745067, 'Dual': 1.0057012105256993, 'Dual_time': 1695.096583, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': -0.8709830405707943, 'res_plus_time': 3271.730083, 'status_res_plus': 1.0}
{'target': 4, 'label': 6, 'model_name': '', 'Primal': 4.7551604691942195, 'Primal_time': 2271.578075, 'Dual': 4.51314959530151, 'Dual_time': 1591.683782, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.9111613211506443, 'res_plus_time': 3721.778871, 'status_res_plus': 0.0}
{'target': 8, 'label': 6, 'model_name': '', 'Primal': 2.219161650013334, 'Primal_time': 2444.981668, 'Dual': 1.891450158894065, 'Dual_time': 1241.594655, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': -0.1727059008900397, 'res_plus_time': 2835.4548, 'status_res_plus': 1.0}
{'target': 2, 'label': 7, 'model_name': '', 'Primal': 4.226374069899205, 'Primal_time': 2271.748998, 'Dual': 4.050336075507864, 'Dual_time': 1784.297403, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 2.5508701890207406, 'res_plus_time': 3809.592994, 'status_res_plus': 0.0}
{'target': 9, 'label': 7, 'model_name': '', 'Primal': 1.7359383822980776, 'Primal_time': 2180.430901, 'Dual': 1.537913644206034, 'Dual_time': 1322.363275, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': -0.052221067818512115, 'res_plus_time': 2386.513967, 'status_res_plus': 1.0}
{'target': 7, 'label': 9, 'model_name': '', 'Primal': 5.017381205034451, 'Primal_time': 2664.660859, 'Dual': 4.774067782278397, 'Dual_time': 1580.810351, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 3.4331194796709736, 'res_plus_time': 3054.950109, 'status_res_plus': 0.0}
{'target': 4, 'label': 9, 'model_name': '', 'Primal': 1.0627934057405317, 'Primal_time': 2177.83311, 'Dual': 0.8926273850604131, 'Dual_time': 1595.22936, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': -0.28519161514298286, 'res_plus_time': 3235.107567, 'status_res_plus': 1.0}
{'target': 7, 'label': 1, 'model_name': '', 'Primal': 9.814511519429411, 'Primal_time': 2119.858066, 'Dual': 9.08557764665629, 'Dual_time': 1534.602469, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 5.638931595759874, 'res_plus_time': 3411.195488, 'status_res_plus': 0.0}
{'target': 4, 'label': 9, 'model_name': '', 'Primal': 3.877978620067056, 'Primal_time': 2582.11238, 'Dual': 3.70136593596633, 'Dual_time': 1450.773705, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 2.6597379869742865, 'res_plus_time': 2962.833768, 'status_res_plus': 0.0}
{'target': 5, 'label': 3, 'model_name': '', 'Primal': 6.497145006437315, 'Primal_time': 2054.138793, 'Dual': 6.27281885074842, 'Dual_time': 1668.569335, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 3.3741272686006716, 'res_plus_time': 3607.678086, 'status_res_plus': 0.0}
{'target': 1, 'label': 2, 'model_name': '', 'Primal': 5.317652882158797, 'Primal_time': 2163.378514, 'Dual': 5.0882163325805125, 'Dual_time': 1866.28547, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 1.1775350219102594, 'res_plus_time': 3758.512043, 'status_res_plus': 0.0}
{'target': 1, 'label': 2, 'model_name': '', 'Primal': 4.781174492126375, 'Primal_time': 2170.892549, 'Dual': 4.563939138533503, 'Dual_time': 1736.734816, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 1.759361842853054, 'res_plus_time': 3868.665336, 'status_res_plus': 0.0}
{'target': 7, 'label': 2, 'model_name': '', 'Primal': 2.0077167685545017, 'Primal_time': 2389.99204, 'Dual': 1.794790730460124, 'Dual_time': 1380.037069, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': -0.6918818475206541, 'res_plus_time': 2655.82563, 'status_res_plus': 1.0}
{'target': 3, 'label': 5, 'model_name': '', 'Primal': -1.0237257281648164, 'Primal_time': 2105.411216, 'Dual': -1.1672912652568415, 'Dual_time': 1621.443094, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -2.7927921309595694, 'res_plus_time': 2681.423208, 'status_res_plus': 1.0}
{'target': 2, 'label': 7, 'model_name': '', 'Primal': 2.8481272725993763, 'Primal_time': 3111.95302, 'Dual': 2.7190261984291846, 'Dual_time': 2237.794097, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 1.4052789378362924, 'res_plus_time': 4337.139505, 'status_res_plus': 0.0}
{'target': 2, 'label': 7, 'model_name': '', 'Primal': 4.179571659223278, 'Primal_time': 2698.549101, 'Dual': 4.020990453035538, 'Dual_time': 2031.963659, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 2.3805735737659037, 'res_plus_time': 4360.334053, 'status_res_plus': 0.0}
{'target': 4, 'label': 9, 'model_name': '', 'Primal': 0.9317233328595775, 'Primal_time': 2817.736064, 'Dual': 0.7812843817323115, 'Dual_time': 1877.495215, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': -0.3147213163010551, 'res_plus_time': 3644.810483, 'status_res_plus': 1.0}
{'target': 8, 'label': 5, 'model_name': '', 'Primal': 4.206069796215053, 'Primal_time': 2545.615137, 'Dual': 4.070669335074776, 'Dual_time': 2216.188402, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 2.842014575750914, 'res_plus_time': 4976.077796, 'status_res_plus': 0.0}
{'target': 1, 'label': 3, 'model_name': '', 'Primal': 15.9666036295236, 'Primal_time': 2614.063512, 'Dual': 15.700609027433686, 'Dual_time': 2846.453775, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 13.620587937483409, 'res_plus_time': 6576.394225, 'status_res_plus': 0.0}
{'target': 7, 'label': 1, 'model_name': '', 'Primal': 15.577183384956184, 'Primal_time': 2824.02344, 'Dual': 15.087446283021285, 'Dual_time': 2322.44209, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 11.56441081549455, 'res_plus_time': 5111.854179, 'status_res_plus': 0.0}
{'target': 6, 'label': 0, 'model_name': '', 'Primal': 1.5971408867456576, 'Primal_time': 2874.809806, 'Dual': 1.39714081131332, 'Dual_time': 2357.008701, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': -1.6006836237487172, 'res_plus_time': 4449.696888, 'status_res_plus': 1.0}
{'target': 8, 'label': 2, 'model_name': '', 'Primal': 5.542493557942194, 'Primal_time': 3113.302204, 'Dual': 5.301739063264123, 'Dual_time': 2182.319346, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 2.4543724079638807, 'res_plus_time': 5024.862795, 'status_res_plus': 0.0}
{'target': 2, 'label': 8, 'model_name': '', 'Primal': 1.621038354639472, 'Primal_time': 2613.445876, 'Dual': 1.38777750681377, 'Dual_time': 1845.249516, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.3069732207787147, 'res_plus_time': 3789.930938, 'status_res_plus': 0.0}
{'target': 5, 'label': 3, 'model_name': '', 'Primal': 2.210100952664839, 'Primal_time': 3105.49549, 'Dual': 1.9819167038090546, 'Dual_time': 1959.6893, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.3280423707683421, 'res_plus_time': 4008.513847, 'status_res_plus': 0.0}
{'target': 5, 'label': 6, 'model_name': '', 'Primal': 5.059151866781928, 'Primal_time': 2744.469379, 'Dual': 4.813332977407096, 'Dual_time': 2484.541007, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 1.7564578752183873, 'res_plus_time': 4852.333629, 'status_res_plus': 0.0}
{'target': 3, 'label': 5, 'model_name': '', 'Primal': 2.2020558922602906, 'Primal_time': 3112.085851, 'Dual': 1.9900763289253423, 'Dual_time': 1835.44106, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.970230005403199, 'res_plus_time': 3752.703913, 'status_res_plus': 0.0}
{'target': 9, 'label': 0, 'model_name': '', 'Primal': 3.590298110387211, 'Primal_time': 2892.13036, 'Dual': 3.224630794582979, 'Dual_time': 1956.803187, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': -1.408872351846243, 'res_plus_time': 3634.000473, 'status_res_plus': 1.0}
